Day,Time_Slot,Centroids,Students,Assignments
Monday,8_am,144,1267,1278
Monday,10_am,39,192,196
Monday,3_pm,60,350,355
Monday,5_pm,123,1062,1070
Monday,Leave,123,1062,1070
Tuesday,8_am,317,3676,3754
Tuesday,10_am,94,707,722
Tuesday,3_pm,222,2269,2337
Tuesday,5_pm,208,2137,2174
Tuesday,Leave,208,2137,2174
Wednesday,8_am,308,3465,3549
Wednesday,10_am,102,849,864
Wednesday,3_pm,235,2390,2455
Wednesday,5_pm,187,1860,1901
Wednesday,Leave,187,1860,1901
Thursday,8_am,316,3529,3619
Thursday,10_am,102,854,859
Thursday,3_pm,203,2100,2135
Thursday,5_pm,212,2192,2267
Thursday,Leave,212,2192,2267
Friday,8_am,310,3381,3474
Friday,10_am,110,860,870
Friday,3_pm,246,2524,2568
Friday,5_pm,169,1656,1707
Friday,Leave,169,1656,1707
Saturday,8_am,109,837,857
Saturday,10_am,66,435,451
Saturday,3_pm,90,671,700
Saturday,5_pm,78,574,589
Saturday,Leave,78,574,589
