stop_name,latitude,longitude,source,full_name,confidence
ROYAPURAM P.S,,,not_found,,none
THANGAL,,,not_found,,none
THRUVOTRIYUR TEMPLE,,,not_found,,none
THIRUVOTRIYUR,,,not_found,,none
ANNA NAGAR,,,not_found,,none
CLIVE BATTERY,,,not_found,,none
PARRYS,,,not_found,,none
M.G.R.CENTRAL,,,not_found,,none
DASAPRAKASH,,,not_found,,none
TAYLORS ROAD,,,not_found,,none
AMINJIKARAI,,,not_found,,none
NADUVANKARAI,,,not_found,,none
ARUMBAKKAM,,,not_found,,none
NERKUNDRAM,,,not_found,,none
MADURAVOYAL,,,not_found,,none
VAANAGARAM,,,not_found,,none
VELAPPANCHAVADI,,,not_found,,none
KUMUNANCHAVADI,,,not_found,,none
POONAMALLEE,,,not_found,,none
